state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Wheat,Standard,FAQ,19/10/2025,2099.86,2447.29,2300.3,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.322633,agmarknet_data
Assam,Dibrugarh,Dibrugarh APMC,Wheat,Standard,FAQ,19/10/2025,1917.29,2234.51,2100.3,2026-01-09T23:47:29.326471,agmarknet_data
Bihar,Gaya,Gaya APMC,Wheat,Standard,FAQ,19/10/2025,1917.29,2234.51,2100.3,2026-01-09T23:47:29.331530,agmarknet_data
Chhattisgarh,Bilaspur,Bilaspur APMC,Wheat,Standard,FAQ,19/10/2025,2031.4,2367.49,2225.3,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.338572,agmarknet_data
Gujarat,Junagadh,Junagadh APMC,Wheat,Standard,FAQ,19/10/2025,2206.58,2481.62,2350.3,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Sirsa,Sirsa APMC,Wheat,Standard,FAQ,19/10/2025,2276.99,2560.81,2425.3,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,19/10/2025,2301.49,2710.98,2475.3,2026-01-09T23:47:29.353833,agmarknet_data
Jharkhand,Jamshedpur,Jamshedpur APMC,Wheat,Standard,FAQ,19/10/2025,1985.75,2314.3,2175.3,2026-01-09T23:47:29.360820,agmarknet_data
Karnataka,Davangere,Davangere APMC,Wheat,Standard,FAQ,19/10/2025,2206.58,2481.62,2350.3,2026-01-09T23:47:29.365329,agmarknet_data
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Wheat,Standard,FAQ,19/10/2025,2373.72,2766.46,2600.3,2026-01-09T23:47:29.367333,agmarknet_data
Madhya Pradesh,Sagar,Sagar APMC,Wheat,Standard,FAQ,19/10/2025,2206.58,2481.62,2350.3,2026-01-09T23:47:29.373085,agmarknet_data
Maharashtra,Aurangabad,Aurangabad APMC,Wheat,Standard,FAQ,19/10/2025,2253.52,2534.41,2400.3,2026-01-09T23:47:29.378183,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.389809,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.397902,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.403904,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.409682,agmarknet_data
Odisha,Cuttack,Cuttack APMC,Wheat,Standard,FAQ,19/10/2025,1962.93,2287.7,2150.3,2026-01-09T23:47:29.409682,agmarknet_data
Punjab,Bathinda,Bathinda APMC,Wheat,Standard,FAQ,19/10/2025,2323.93,2613.61,2475.3,2026-01-09T23:47:29.409682,agmarknet_data
Rajasthan,Bikaner,Bikaner APMC,Wheat,Standard,FAQ,19/10/2025,2159.63,2428.83,2300.3,2026-01-09T23:47:29.418094,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.424614,agmarknet_data
Tamil Nadu,Trichy,Trichy APMC,Wheat,Standard,FAQ,19/10/2025,2323.93,2613.61,2475.3,2026-01-09T23:47:29.426872,agmarknet_data
Telangana,Warangal,Warangal APMC,Wheat,Standard,FAQ,19/10/2025,2145.51,2500.48,2350.3,2026-01-09T23:47:29.426872,agmarknet_data
Tripura,Tripura Main,Tripura Main APMC,Wheat,Standard,FAQ,19/10/2025,2185.27,2574.07,2350.3,2026-01-09T23:47:29.436398,agmarknet_data
Uttar Pradesh,Meerut,Meerut APMC,Wheat,Standard,FAQ,19/10/2025,2089.22,2349.64,2225.3,2026-01-09T23:47:29.440911,agmarknet_data
Uttarakhand,Uttarakhand Main,Uttarakhand Main APMC,Wheat,Standard,FAQ,19/10/2025,2231.76,2628.83,2400.3,2026-01-09T23:47:29.444970,agmarknet_data
