state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Tirupati,Tirupati APMC,Wheat,Standard,FAQ,22/10/2025,2117.0,2429.6,2315.41,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.322633,agmarknet_data
Assam,Jorhat,Jorhat APMC,Wheat,Standard,FAQ,22/10/2025,1934.13,2219.74,2115.41,2026-01-09T23:47:29.326471,agmarknet_data
Bihar,Bhagalpur,Bhagalpur APMC,Wheat,Standard,FAQ,22/10/2025,1934.13,2219.74,2115.41,2026-01-09T23:47:29.331530,agmarknet_data
Chhattisgarh,Korba,Korba APMC,Wheat,Standard,FAQ,22/10/2025,2048.42,2350.91,2240.41,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.338572,agmarknet_data
Gujarat,Vadodara,Vadodara APMC,Wheat,Standard,FAQ,22/10/2025,2253.31,2520.26,2365.41,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Ambala,Ambala APMC,Wheat,Standard,FAQ,22/10/2025,2324.76,2600.17,2440.41,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,22/10/2025,2330.71,2738.35,2490.41,2026-01-09T23:47:29.353833,agmarknet_data
Jharkhand,Bokaro,Bokaro APMC,Wheat,Standard,FAQ,22/10/2025,2002.71,2298.44,2190.41,2026-01-09T23:47:29.360820,agmarknet_data
Karnataka,Belgaum,Belgaum APMC,Wheat,Standard,FAQ,22/10/2025,2253.31,2520.26,2365.41,2026-01-09T23:47:29.365329,agmarknet_data
Kerala,Thrissur,Thrissur APMC,Wheat,Standard,FAQ,22/10/2025,2391.29,2744.4,2615.41,2026-01-09T23:47:29.367333,agmarknet_data
Madhya Pradesh,Ujjain,Ujjain APMC,Wheat,Standard,FAQ,22/10/2025,2253.31,2520.26,2365.41,2026-01-09T23:47:29.373085,agmarknet_data
Maharashtra,Nagpur,Nagpur APMC,Wheat,Standard,FAQ,22/10/2025,2300.94,2573.54,2415.41,2026-01-09T23:47:29.378183,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.393253,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.397902,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.403904,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.409682,agmarknet_data
Odisha,Sambalpur,Sambalpur APMC,Wheat,Standard,FAQ,22/10/2025,1979.85,2272.21,2165.41,2026-01-09T23:47:29.409682,agmarknet_data
Punjab,Patiala,Patiala APMC,Wheat,Standard,FAQ,22/10/2025,2372.39,2653.45,2490.41,2026-01-09T23:47:29.409682,agmarknet_data
Rajasthan,Udaipur,Udaipur APMC,Wheat,Standard,FAQ,22/10/2025,2205.68,2466.99,2315.41,2026-01-09T23:47:29.418094,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.424614,agmarknet_data
Tamil Nadu,Salem,Salem APMC,Wheat,Standard,FAQ,22/10/2025,2372.39,2653.45,2490.41,2026-01-09T23:47:29.426872,agmarknet_data
Telangana,Nizamabad,Nizamabad APMC,Wheat,Standard,FAQ,22/10/2025,2162.71,2482.07,2365.41,2026-01-09T23:47:29.426872,agmarknet_data
Tripura,Tripura Main,Tripura Main APMC,Wheat,Standard,FAQ,22/10/2025,2213.73,2600.91,2365.41,2026-01-09T23:47:29.436398,agmarknet_data
