state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Guntur,Guntur APMC,Wheat,Standard,FAQ,23/11/2025,2187.24,2603.69,2372.99,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.324466,agmarknet_data
Assam,Silchar,Silchar APMC,Wheat,Standard,FAQ,23/11/2025,2002.89,2384.25,2172.99,2026-01-09T23:47:29.328476,agmarknet_data
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,Standard,FAQ,23/11/2025,2002.89,2384.25,2172.99,2026-01-09T23:47:29.332546,agmarknet_data
Chhattisgarh,Durg,Durg APMC,Wheat,Standard,FAQ,23/11/2025,2118.11,2521.4,2297.99,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.341339,agmarknet_data
Gujarat,Surat,Surat APMC,Wheat,Standard,FAQ,23/11/2025,2324.91,2520.07,2422.99,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Hisar,Hisar APMC,Wheat,Standard,FAQ,23/11/2025,2396.88,2598.08,2497.99,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,23/11/2025,2421.18,2638.55,2547.99,2026-01-09T23:47:29.354856,agmarknet_data
Jharkhand,Dhanbad,Dhanbad APMC,Wheat,Standard,FAQ,23/11/2025,2072.02,2466.54,2247.99,2026-01-09T23:47:29.360820,agmarknet_data
Karnataka,Hubli,Hubli APMC,Wheat,Standard,FAQ,23/11/2025,2324.91,2520.07,2422.99,2026-01-09T23:47:29.365329,agmarknet_data
Kerala,Kozhikode,Kozhikode APMC,Wheat,Standard,FAQ,23/11/2025,2463.76,2932.86,2672.99,2026-01-09T23:47:29.369338,agmarknet_data
Madhya Pradesh,Bhopal,Bhopal APMC,Wheat,Standard,FAQ,23/11/2025,2324.91,2520.07,2422.99,2026-01-09T23:47:29.374510,agmarknet_data
Maharashtra,Pune,Pune APMC,Wheat,Standard,FAQ,23/11/2025,2372.89,2572.08,2472.99,2026-01-09T23:47:29.385239,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.393253,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.400387,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.405909,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.409682,agmarknet_data
Odisha,Rourkela,Rourkela APMC,Wheat,Standard,FAQ,23/11/2025,2048.98,2439.11,2222.99,2026-01-09T23:47:29.409682,agmarknet_data
Punjab,Amritsar,Amritsar APMC,Wheat,Standard,FAQ,23/11/2025,2444.85,2650.08,2547.99,2026-01-09T23:47:29.418094,agmarknet_data
Rajasthan,Jodhpur,Jodhpur APMC,Wheat,Standard,FAQ,23/11/2025,2276.94,2468.07,2372.99,2026-01-09T23:47:29.418094,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Wheat,Standard,FAQ,23/11/2025,2302.4,2509.11,2422.99,2026-01-09T23:47:29.426872,agmarknet_data
Tamil Nadu,Coimbatore,Coimbatore APMC,Wheat,Standard,FAQ,23/11/2025,2444.85,2650.08,2547.99,2026-01-09T23:47:29.426872,agmarknet_data
Telangana,Karimnagar,Karimnagar APMC,Wheat,Standard,FAQ,23/11/2025,2233.32,2658.55,2422.99,2026-01-09T23:47:29.426872,agmarknet_data
