state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Tirupati,Tirupati APMC,Wheat,Standard,FAQ,30/10/2025,2042.4,2335.51,2159.54,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,30/10/2025,2074.62,2413.89,2209.54,2026-01-09T23:47:29.322633,agmarknet_data
Assam,Jorhat,Jorhat APMC,Wheat,Standard,FAQ,30/10/2025,1853.25,2119.21,1959.54,2026-01-09T23:47:29.326471,agmarknet_data
Bihar,Bhagalpur,Bhagalpur APMC,Wheat,Standard,FAQ,30/10/2025,1853.25,2119.21,1959.54,2026-01-09T23:47:29.331530,agmarknet_data
Chhattisgarh,Korba,Korba APMC,Wheat,Standard,FAQ,30/10/2025,1971.47,2254.39,2084.54,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,30/10/2025,2074.62,2413.89,2209.54,2026-01-09T23:47:29.338572,agmarknet_data
Gujarat,Junagadh,Junagadh APMC,Wheat,Standard,FAQ,30/10/2025,2144.75,2385.9,2209.54,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Sirsa,Sirsa APMC,Wheat,Standard,FAQ,30/10/2025,2217.55,2466.88,2284.54,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,30/10/2025,2191.99,2550.45,2334.54,2026-01-09T23:47:29.353833,agmarknet_data
Jharkhand,Bokaro,Bokaro APMC,Wheat,Standard,FAQ,30/10/2025,1924.18,2200.32,2034.54,2026-01-09T23:47:29.360820,agmarknet_data
Karnataka,Davangere,Davangere APMC,Wheat,Standard,FAQ,30/10/2025,2144.75,2385.9,2209.54,2026-01-09T23:47:29.365329,agmarknet_data
