state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Wheat,Standard,FAQ,25/10/2025,2039.67,2301.6,2214.1,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.322633,agmarknet_data
Assam,Dibrugarh,Dibrugarh APMC,Wheat,Standard,FAQ,25/10/2025,1855.42,2093.7,2014.1,2026-01-09T23:47:29.326471,agmarknet_data
Bihar,Gaya,Gaya APMC,Wheat,Standard,FAQ,25/10/2025,1855.42,2093.7,2014.1,2026-01-09T23:47:29.331530,agmarknet_data
Chhattisgarh,Bilaspur,Bilaspur APMC,Wheat,Standard,FAQ,25/10/2025,1970.58,2223.64,2139.1,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.338572,agmarknet_data
Gujarat,Vadodara,Vadodara APMC,Wheat,Standard,FAQ,25/10/2025,2181.66,2400.43,2264.1,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Ambala,Ambala APMC,Wheat,Standard,FAQ,25/10/2025,2253.93,2479.94,2339.1,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,25/10/2025,2220.24,2579.12,2389.1,2026-01-09T23:47:29.353833,agmarknet_data
Jharkhand,Jamshedpur,Jamshedpur APMC,Wheat,Standard,FAQ,25/10/2025,1924.52,2171.66,2089.1,2026-01-09T23:47:29.360820,agmarknet_data
Karnataka,Belgaum,Belgaum APMC,Wheat,Standard,FAQ,25/10/2025,2181.66,2400.43,2264.1,2026-01-09T23:47:29.365329,agmarknet_data
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Wheat,Standard,FAQ,25/10/2025,2316.03,2613.46,2514.1,2026-01-09T23:47:29.367333,agmarknet_data
Madhya Pradesh,Ujjain,Ujjain APMC,Wheat,Standard,FAQ,25/10/2025,2181.66,2400.43,2264.1,2026-01-09T23:47:29.374510,agmarknet_data
Maharashtra,Nagpur,Nagpur APMC,Wheat,Standard,FAQ,25/10/2025,2229.84,2453.44,2314.1,2026-01-09T23:47:29.378183,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.393253,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.397902,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.403904,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.409682,agmarknet_data
Odisha,Cuttack,Cuttack APMC,Wheat,Standard,FAQ,25/10/2025,1901.49,2145.68,2064.1,2026-01-09T23:47:29.409682,agmarknet_data
Punjab,Patiala,Patiala APMC,Wheat,Standard,FAQ,25/10/2025,2302.1,2532.95,2389.1,2026-01-09T23:47:29.409682,agmarknet_data
Rajasthan,Udaipur,Udaipur APMC,Wheat,Standard,FAQ,25/10/2025,2133.48,2347.42,2214.1,2026-01-09T23:47:29.418094,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.426367,agmarknet_data
Tamil Nadu,Salem,Salem APMC,Wheat,Standard,FAQ,25/10/2025,2302.1,2532.95,2389.1,2026-01-09T23:47:29.426872,agmarknet_data
Telangana,Warangal,Warangal APMC,Wheat,Standard,FAQ,25/10/2025,2085.73,2353.58,2264.1,2026-01-09T23:47:29.426872,agmarknet_data
Tripura,Tripura Main,Tripura Main APMC,Wheat,Standard,FAQ,25/10/2025,2104.07,2444.18,2264.1,2026-01-09T23:47:29.436398,agmarknet_data
Uttar Pradesh,Varanasi,Varanasi APMC,Wheat,Standard,FAQ,25/10/2025,2061.21,2267.9,2139.1,2026-01-09T23:47:29.440911,agmarknet_data
Uttarakhand,Uttarakhand Main,Uttarakhand Main APMC,Wheat,Standard,FAQ,25/10/2025,2150.54,2498.15,2314.1,2026-01-09T23:47:29.444970,agmarknet_data
