state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Tirupati,Tirupati APMC,Wheat,Standard,FAQ,26/10/2025,2171.52,2350.48,2219.66,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,26/10/2025,2173.59,2370.99,2269.66,2026-01-09T23:47:29.322633,agmarknet_data
Assam,Jorhat,Jorhat APMC,Wheat,Standard,FAQ,26/10/2025,1975.85,2138.69,2019.66,2026-01-09T23:47:29.326471,agmarknet_data
Bihar,Bhagalpur,Bhagalpur APMC,Wheat,Standard,FAQ,26/10/2025,1975.85,2138.69,2019.66,2026-01-09T23:47:29.331530,agmarknet_data
Chhattisgarh,Korba,Korba APMC,Wheat,Standard,FAQ,26/10/2025,2098.14,2271.06,2144.66,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,26/10/2025,2173.59,2370.99,2269.66,2026-01-09T23:47:29.338572,agmarknet_data
Gujarat,Vadodara,Vadodara APMC,Wheat,Standard,FAQ,26/10/2025,2164.15,2471.96,2269.66,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Ambala,Ambala APMC,Wheat,Standard,FAQ,26/10/2025,2235.66,2553.64,2344.66,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,26/10/2025,2293.3,2501.57,2394.66,2026-01-09T23:47:29.353833,agmarknet_data
Jharkhand,Bokaro,Bokaro APMC,Wheat,Standard,FAQ,26/10/2025,2049.23,2218.12,2094.66,2026-01-09T23:47:29.360820,agmarknet_data
Karnataka,Belgaum,Belgaum APMC,Wheat,Standard,FAQ,26/10/2025,2164.15,2471.96,2269.66,2026-01-09T23:47:29.365329,agmarknet_data
Kerala,Thrissur,Thrissur APMC,Wheat,Standard,FAQ,26/10/2025,2465.01,2668.16,2519.66,2026-01-09T23:47:29.367333,agmarknet_data
Madhya Pradesh,Ujjain,Ujjain APMC,Wheat,Standard,FAQ,26/10/2025,2164.15,2471.96,2269.66,2026-01-09T23:47:29.374510,agmarknet_data
Maharashtra,Nagpur,Nagpur APMC,Wheat,Standard,FAQ,26/10/2025,2211.83,2526.42,2319.66,2026-01-09T23:47:29.385239,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,26/10/2025,2173.59,2370.99,2269.66,2026-01-09T23:47:29.393253,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,26/10/2025,2173.59,2370.99,2269.66,2026-01-09T23:47:29.397902,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,26/10/2025,2173.59,2370.99,2269.66,2026-01-09T23:47:29.403904,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,26/10/2025,2173.59,2370.99,2269.66,2026-01-09T23:47:29.409682,agmarknet_data
Odisha,Sambalpur,Sambalpur APMC,Wheat,Standard,FAQ,26/10/2025,2024.77,2191.64,2069.66,2026-01-09T23:47:29.409682,agmarknet_data
