state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Vijayawada,Vijayawada APMC,Wheat,Standard,FAQ,26/12/2025,2090.49,2332.74,2266.0,2026-01-09T23:47:29.318658,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.326471,agmarknet_data
Assam,Guwahati,Guwahati APMC,Wheat,Standard,FAQ,26/12/2025,1905.98,2126.85,2066.0,2026-01-09T23:47:29.328476,agmarknet_data
Bihar,Patna,Patna APMC,Wheat,Standard,FAQ,26/12/2025,1905.98,2126.85,2066.0,2026-01-09T23:47:29.332546,agmarknet_data
Chhattisgarh,Raipur,Raipur APMC,Wheat,Standard,FAQ,26/12/2025,2021.3,2255.53,2191.0,2026-01-09T23:47:29.332546,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.344265,agmarknet_data
Gujarat,Junagadh,Junagadh APMC,Wheat,Standard,FAQ,26/12/2025,2178.01,2515.44,2316.0,2026-01-09T23:47:29.344265,agmarknet_data
Haryana,Sirsa,Sirsa APMC,Wheat,Standard,FAQ,26/12/2025,2248.54,2596.9,2391.0,2026-01-09T23:47:29.344265,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,26/12/2025,2264.52,2580.56,2441.0,2026-01-09T23:47:29.358061,agmarknet_data
Jharkhand,Ranchi,Ranchi APMC,Wheat,Standard,FAQ,26/12/2025,1975.17,2204.05,2141.0,2026-01-09T23:47:29.363323,agmarknet_data
Karnataka,Davangere,Davangere APMC,Wheat,Standard,FAQ,26/12/2025,2178.01,2515.44,2316.0,2026-01-09T23:47:29.367333,agmarknet_data
Kerala,Kochi,Kochi APMC,Wheat,Standard,FAQ,26/12/2025,2367.25,2641.57,2566.0,2026-01-09T23:47:29.371344,agmarknet_data
Madhya Pradesh,Sagar,Sagar APMC,Wheat,Standard,FAQ,26/12/2025,2178.01,2515.44,2316.0,2026-01-09T23:47:29.378183,agmarknet_data
Maharashtra,Aurangabad,Aurangabad APMC,Wheat,Standard,FAQ,26/12/2025,2225.03,2569.75,2366.0,2026-01-09T23:47:29.388785,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.396849,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.401395,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.407932,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.409682,agmarknet_data
Odisha,Bhubaneswar,Bhubaneswar APMC,Wheat,Standard,FAQ,26/12/2025,1952.11,2178.32,2116.0,2026-01-09T23:47:29.409682,agmarknet_data
Punjab,Bathinda,Bathinda APMC,Wheat,Standard,FAQ,26/12/2025,2295.56,2651.21,2441.0,2026-01-09T23:47:29.418094,agmarknet_data
Rajasthan,Bikaner,Bikaner APMC,Wheat,Standard,FAQ,26/12/2025,2130.99,2461.13,2266.0,2026-01-09T23:47:29.423443,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.426872,agmarknet_data
Tamil Nadu,Trichy,Trichy APMC,Wheat,Standard,FAQ,26/12/2025,2295.56,2651.21,2441.0,2026-01-09T23:47:29.426872,agmarknet_data
Telangana,Hyderabad,Hyderabad APMC,Wheat,Standard,FAQ,26/12/2025,2136.62,2384.21,2316.0,2026-01-09T23:47:29.434391,agmarknet_data
Tripura,Tripura Main,Tripura Main APMC,Wheat,Standard,FAQ,26/12/2025,2148.56,2448.41,2316.0,2026-01-09T23:47:29.438402,agmarknet_data
Uttar Pradesh,Meerut,Meerut APMC,Wheat,Standard,FAQ,26/12/2025,2060.46,2379.68,2191.0,2026-01-09T23:47:29.442714,agmarknet_data
Uttarakhand,Uttarakhand Main,Uttarakhand Main APMC,Wheat,Standard,FAQ,26/12/2025,2194.94,2501.27,2366.0,2026-01-09T23:47:29.444970,agmarknet_data
West Bengal,Howrah,Howrah APMC,Wheat,Standard,FAQ,26/12/2025,2060.46,2379.68,2191.0,2026-01-09T23:47:29.450496,agmarknet_data
Andhra Pradesh,Vijayawada,Vijayawada APMC,Paddy(Common),Standard,FAQ,26/12/2025,2155.65,2405.45,2336.62,2026-01-09T23:47:29.455957,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.455957,agmarknet_data
Assam,Guwahati,Guwahati APMC,Paddy(Common),Standard,FAQ,26/12/2025,1993.28,2224.26,2160.62,2026-01-09T23:47:29.455957,agmarknet_data
Bihar,Patna,Patna APMC,Paddy(Common),Standard,FAQ,26/12/2025,1993.28,2224.26,2160.62,2026-01-09T23:47:29.466225,agmarknet_data
Chhattisgarh,Raipur,Raipur APMC,Paddy(Common),Standard,FAQ,26/12/2025,2094.76,2337.5,2270.62,2026-01-09T23:47:29.466225,agmarknet_data
Goa,Goa Main,Goa Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.476427,agmarknet_data
Gujarat,Junagadh,Junagadh APMC,Paddy(Common),Standard,FAQ,26/12/2025,2238.79,2585.64,2380.62,2026-01-09T23:47:29.476427,agmarknet_data
Haryana,Sirsa,Sirsa APMC,Paddy(Common),Standard,FAQ,26/12/2025,2300.86,2657.32,2446.62,2026-01-09T23:47:29.484080,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2310.56,2633.02,2490.62,2026-01-09T23:47:29.489460,agmarknet_data
Jharkhand,Ranchi,Ranchi APMC,Paddy(Common),Standard,FAQ,26/12/2025,2054.17,2292.21,2226.62,2026-01-09T23:47:29.491979,agmarknet_data
Karnataka,Davangere,Davangere APMC,Paddy(Common),Standard,FAQ,26/12/2025,2238.79,2585.64,2380.62,2026-01-09T23:47:29.502367,agmarknet_data
Kerala,Kochi,Kochi APMC,Paddy(Common),Standard,FAQ,26/12/2025,2399.2,2677.22,2600.62,2026-01-09T23:47:29.505843,agmarknet_data
Madhya Pradesh,Sagar,Sagar APMC,Paddy(Common),Standard,FAQ,26/12/2025,2238.79,2585.64,2380.62,2026-01-09T23:47:29.508330,agmarknet_data
Maharashtra,Aurangabad,Aurangabad APMC,Paddy(Common),Standard,FAQ,26/12/2025,2280.17,2633.43,2424.62,2026-01-09T23:47:29.513986,agmarknet_data
Manipur,Manipur Main,Manipur Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.513986,agmarknet_data
Meghalaya,Meghalaya Main,Meghalaya Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.528674,agmarknet_data
Mizoram,Mizoram Main,Mizoram Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.533564,agmarknet_data
Nagaland,Nagaland Main,Nagaland Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.538089,agmarknet_data
Odisha,Bhubaneswar,Bhubaneswar APMC,Paddy(Common),Standard,FAQ,26/12/2025,2033.87,2269.56,2204.62,2026-01-09T23:47:29.545030,agmarknet_data
Punjab,Bathinda,Bathinda APMC,Paddy(Common),Standard,FAQ,26/12/2025,2342.23,2705.11,2490.62,2026-01-09T23:47:29.547035,agmarknet_data
Rajasthan,Bikaner,Bikaner APMC,Paddy(Common),Standard,FAQ,26/12/2025,2197.41,2537.85,2336.62,2026-01-09T23:47:29.551044,agmarknet_data
Sikkim,Sikkim Main,Sikkim Main APMC,Paddy(Common),Standard,FAQ,26/12/2025,2208.52,2516.73,2380.62,2026-01-09T23:47:29.556081,agmarknet_data
